registro_id,cell_index,anio,mes,anio_mes,asset_fuente,viirs_soporte_nativo_m,viirs_detecciones_todas_support_mean,viirs_detecciones_nominal_alta_support_mean,viirs_presencia_fuego_support_frac,viirs_presencia_fuego_nominal_alta_support_frac,viirs_frp_suma_observada_support_mean_mw,viirs_frp_maxima_support_mean_mw,viirs_dias_validos_support_mean,viirs_disponibilidad_support_pct,viirs_observado_support_mean,viirs_source_coverage_frac,viirs_observed_support_frac,viirs_evidencia_fuego_any,viirs_evidencia_fuego_nominal_alta_any,estrato_muestra,procedencia,fuente_primaria,unidad_analisis,datos_simulados,version_origen
VCM_0031,2001,2021,2,2021-02,VIIRS_PREP_2021_02,926.625433055833,0.2786885245901639,0.2786885245901639,0.2786885245901639,0.2786885245901639,2.340983500246142,2.340983500246142,28.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0032,1236,2021,5,2021-05,VIIRS_PREP_2021_05,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0033,2740,2021,5,2021-05,VIIRS_PREP_2021_05,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0034,4675,2021,7,2021-07,VIIRS_PREP_2021_07,926.625433055833,1.0,1.0,1.0,1.0,35.20000076293945,35.20000076293945,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0035,5408,2021,7,2021-07,VIIRS_PREP_2021_07,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0036,6108,2021,7,2021-07,VIIRS_PREP_2021_07,926.625433055833,0.0895522388059701,0.0895522388059701,0.0895522388059701,0.0895522388059701,0.3582089552238806,0.3582089552238806,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0037,3457,2021,8,2021-08,VIIRS_PREP_2021_08,926.625433055833,0.3095238095238095,0.3095238095238095,0.3095238095238095,0.3095238095238095,2.383333274296352,2.383333274296352,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0038,6494,2021,8,2021-08,VIIRS_PREP_2021_08,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0039,6784,2021,8,2021-08,VIIRS_PREP_2021_08,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0040,3503,2021,9,2021-09,VIIRS_PREP_2021_09,926.625433055833,1.0,1.0,1.0,1.0,7.800000190734863,7.800000190734863,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
